Score,CandidateLipidClassType,SpectrumLipidClassType,Type
373.198193515188,LMGP0301,LMGP0301,fg
376.152323946243,LMGP0301,LMGP0301,fg
453.115391675457,LMGP0301,LMGP0301,fg
431.256851518859,LMGP0301,LMGP0301,fg
445.866693304596,LMGP0301,LMGP0301,fg
402.566125743841,LMGP0301,LMGP0301,fg
437.376377463378,LMGP0301,LMGP0301,fg
144.035522267645,LMGP0301,LMGP0301,fg
419.167216119208,LMGP0301,LMGP0301,fg
435.818717586805,LMGP0301,LMGP0301,fg
380.229072889301,LMGP0301,LMGP0301,fg
378.36239973915,LMGP0301,LMGP0301,fg
289.823723220534,LMGL0301,LMGL0301,fg
294.456001664749,LMGL0301,LMGL0301,fg
291.282084290556,LMGL0301,LMGL0301,fg
341.874934388077,LMGL0301,LMGL0301,fg
519.880319451105,LMGL0301,LMGL0301,fg
440.761241082859,LMGL0301,LMGL0301,fg
291.525532887776,LMGL0301,LMGL0301,fg
295.186272122146,LMGL0301,LMGL0301,fg
520.388486142784,LMGL0301,LMGL0301,fg
225.971015693193,LMGL0301,LMGL0301,fg
288.716058180882,LMGL0301,LMGL0301,fg
92.1007687603801,LMGL0301,LMGL0301,fg
290.343074943796,LMGL0301,LMGL0301,fg
343.10737558068,LMGL0301,LMGL0301,fg
516.810458331599,LMGL0301,LMGL0301,fg
341.042950942754,LMGL0301,LMGL0301,fg
293.709578839719,LMGL0301,LMGL0301,fg
295.981437914176,LMGL0301,LMGL0301,fg
336.022802812026,LMGL0301,LMGL0301,fg
340.8891076374,LMGL0301,LMGL0301,fg
289.280317792726,LMGL0301,LMGL0301,fg
293.903509404801,LMGL0301,LMGL0301,fg
296.616533637286,LMGL0301,LMGL0301,fg
529.361445447592,LMGL0301,LMGL0301,fg
446.719350820032,LMGL0301,LMGL0301,fg
0.08107531788547653,LMGL0301,LMGP0101,bg
52.34082709014668,LMGL0301,LMGP0201,bg
40.84658030449142,LMGL0301,LMGP0301,bg
24.25386182830548,LMGL0301,LMGP0601,bg
23.84155123548466,LMGL0301,LMSP0201,bg
26.932657273704816,LMGL0301,LMSP0202,bg
0.08107531788547653,LMGL0301,LMGP0101,bg
52.34082709014668,LMGL0301,LMGP0201,bg
40.84658030449142,LMGL0301,LMGP0301,bg
24.25386182830548,LMGL0301,LMGP0601,bg
23.84155123548466,LMGL0301,LMSP0201,bg
26.932657273704816,LMGL0301,LMSP0202,bg
0.08107531788547653,LMGL0301,LMGP0101,bg
52.34082709014668,LMGL0301,LMGP0201,bg
40.84658030449142,LMGL0301,LMGP0301,bg
24.25386182830548,LMGL0301,LMGP0601,bg
23.84155123548466,LMGL0301,LMSP0201,bg
26.932657273704816,LMGL0301,LMSP0202,bg
0.0976078645797746,LMGL0301,LMGP0101,bg
299.29807769165626,LMGL0301,LMGP0201,bg
410.78643394537,LMGL0301,LMGP0301,bg
302.8867359659661,LMGL0301,LMGP0601,bg
101.73505918643485,LMGL0301,LMSP0201,bg
71.51208840285905,LMGL0301,LMSP0202,bg
0.0976078645797746,LMGL0301,LMGP0101,bg
299.29807769165626,LMGL0301,LMGP0201,bg
410.78643394537,LMGL0301,LMGP0301,bg
302.8867359659661,LMGL0301,LMGP0601,bg
101.73505918643485,LMGL0301,LMSP0201,bg
71.51208840285905,LMGL0301,LMSP0202,bg
0.0976078645797746,LMGL0301,LMGP0101,bg
299.29807769165626,LMGL0301,LMGP0201,bg
410.78643394537,LMGL0301,LMGP0301,bg
302.8867359659661,LMGL0301,LMGP0601,bg
101.73505918643485,LMGL0301,LMSP0201,bg
71.51208840285905,LMGL0301,LMSP0202,bg
0.08107531788547653,LMGL0301,LMGP0101,bg
52.34082709014668,LMGL0301,LMGP0201,bg
40.84658030449142,LMGL0301,LMGP0301,bg
24.25386182830548,LMGL0301,LMGP0601,bg
23.84155123548466,LMGL0301,LMSP0201,bg
26.932657273704816,LMGL0301,LMSP0202,bg
0.08107531788547653,LMGL0301,LMGP0101,bg
52.34082709014668,LMGL0301,LMGP0201,bg
40.84658030449142,LMGL0301,LMGP0301,bg
24.25386182830548,LMGL0301,LMGP0601,bg
23.84155123548466,LMGL0301,LMSP0201,bg
26.932657273704816,LMGL0301,LMSP0202,bg
0.0976078645797746,LMGL0301,LMGP0101,bg
299.29807769165626,LMGL0301,LMGP0201,bg
410.78643394537,LMGL0301,LMGP0301,bg
302.8867359659661,LMGL0301,LMGP0601,bg
101.73505918643485,LMGL0301,LMSP0201,bg
71.51208840285905,LMGL0301,LMSP0202,bg
0.0976078645797746,LMGL0301,LMGP0101,bg
299.29807769165626,LMGL0301,LMGP0201,bg
410.78643394537,LMGL0301,LMGP0301,bg
302.8867359659661,LMGL0301,LMGP0601,bg
101.73505918643485,LMGL0301,LMSP0201,bg
71.51208840285905,LMGL0301,LMSP0202,bg
0.08107531788547653,LMGL0301,LMGP0101,bg
52.34082709014668,LMGL0301,LMGP0201,bg
40.84658030449142,LMGL0301,LMGP0301,bg
24.25386182830548,LMGL0301,LMGP0601,bg
23.84155123548466,LMGL0301,LMSP0201,bg
26.932657273704816,LMGL0301,LMSP0202,bg
0.08107531788547653,LMGL0301,LMGP0101,bg
52.34082709014668,LMGL0301,LMGP0201,bg
40.84658030449142,LMGL0301,LMGP0301,bg
24.25386182830548,LMGL0301,LMGP0601,bg
23.84155123548466,LMGL0301,LMSP0201,bg
26.932657273704816,LMGL0301,LMSP0202,bg
0.08107531788547653,LMGL0301,LMGP0101,bg
52.34082709014668,LMGL0301,LMGP0201,bg
40.84658030449142,LMGL0301,LMGP0301,bg
24.25386182830548,LMGL0301,LMGP0601,bg
23.84155123548466,LMGL0301,LMSP0201,bg
26.932657273704816,LMGL0301,LMSP0202,bg
0.0976078645797746,LMGL0301,LMGP0101,bg
299.29807769165626,LMGL0301,LMGP0201,bg
410.78643394537,LMGL0301,LMGP0301,bg
302.8867359659661,LMGL0301,LMGP0601,bg
101.73505918643485,LMGL0301,LMSP0201,bg
71.51208840285905,LMGL0301,LMSP0202,bg
0.0976078645797746,LMGL0301,LMGP0101,bg
299.29807769165626,LMGL0301,LMGP0201,bg
410.78643394537,LMGL0301,LMGP0301,bg
302.8867359659661,LMGL0301,LMGP0601,bg
101.73505918643485,LMGL0301,LMSP0201,bg
71.51208840285905,LMGL0301,LMSP0202,bg
0.0976078645797746,LMGL0301,LMGP0101,bg
299.29807769165626,LMGL0301,LMGP0201,bg
410.78643394537,LMGL0301,LMGP0301,bg
302.8867359659661,LMGL0301,LMGP0601,bg
