Score,CandidateLipidClassType,SpectrumLipidClassType,ClassifierType,Type,SpectrumID
24.425768261951,LMGP1003,LMGP0401,LMGP0401_sin,bg,spec381
24.4257681442695,LMGP1001,LMGP0401,LMGP0401_sin,bg,spec381
22.7683694057753,LMGP1002,LMGP0401,LMGP0401_sin,bg,spec381
46.3295486505442,LMGP0102,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec382
39.3840582435898,LMGP0103,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec382
30.6214603887692,LMGP0203,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec382
4.03257761826888,LMGP0303,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec382
3.45986427702958,LMGP0202,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec382
103.701584674768,LMGP0410,LMGP0401,LMGP0401_sin,bg,spec383
99.2450160895954,LMGP0410,LMGP0401,LMGP0401_sin,bg,spec384
76.2425686868745,LMGP0410,LMGP0401,LMGP0401_sin,bg,spec385
5.98561760611802,LMGL0501,LMGP0401,LMGP0401_sin,bg,spec385
67.786165150152,LMGP0103,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec386
61.7591826171503,LMGP0203,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec386
31.9433811558698,LMGP0202,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec386
19.9605644273657,LMGP0303,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec386
16.4465462037358,LMGP0102,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec386
66.245085697941,LMGP0103,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec387
57.0285929617463,LMGP0203,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec387
32.2145081789845,LMGP0202,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec387
16.3275494302855,LMGP0303,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec387
14.7861924721575,LMGP0102,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec387
65.1813471922477,LMGP0103,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec388
57.9427672226371,LMGP0203,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec388
32.518595096905,LMGP0202,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec388
16.7865573883356,LMGP0303,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec388
15.5879556415098,LMGP0102,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec388
60.169811678502,LMGP0102,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec389
55.2727325565737,LMGP0203,LMGP0201,LMGP0101_LMGP0201_sin,bg,spec389
